id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_of_bookings,last_review,booking_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,year,month,dayname,estimated_revenue,initial_revenue,recommended_minimum_nights,recommended_price_per_night,recommended_revenue_min_nights,extended_stay_price,recommended_revenue_extended_stay,last_minute_discount,recommended_revenue_last_minute,total_recommended_revenue
20700435,New 1 BR: 5 min MRT Rama9/ Mall /Airport link中文可,22333530,Candy & Kevin,Huai Khwang,13.75589,100.56565,Entire home/apt,950,30,24,2022-12-18,0.43,1,333,5,2022,12,Sunday,12255.0,12255.0,2,1045.0,898.6999999999999,7994.25,859.381875,909.15,78.18690000000001,1836.2687749999998
21045059,Studio at LUXX XL Langsuan (3 of 30),68154488,Dusadee,Parthum Wan,13.73452,100.54081,Hotel room,2546,1,2,2022-12-18,0.04,62,359,1,2022,12,Sunday,101.84,101.84,2,2800.6000000000004,224.04800000000003,21424.59,214.2459,2436.5220000000004,19.492176000000004,457.78607600000004
21045093,Boutique Suite With Living Area in LUXX XL Langsuan Hotel,68154488,Dusadee,Parthum Wan,13.73571,100.54198,Private room,5008,1,23,2022-12-19,0.5,62,351,11,2022,12,Monday,2504.0,2504.0,2,5508.8,5508.8,42142.32,5267.79,4792.656,479.2656,11255.8556
20403043,Morris house 1,145483437,หนึ่งน้อง,Bangkok Noi,13.75567,100.47087,Private room,500,1,8,2022-12-12,0.18,2,340,4,2022,12,Monday,90.0,90.0,2,550.0,198.0,4207.5,189.3375,478.5,17.226,404.5635
20721173,Private Condo in Great Area 2 Bedroom 中文服务,138438002,Win,Vadhana,13.73206,100.58055,Entire home/apt,3199,5,15,2022-12-07,0.24,6,358,1,2022,12,Wednesday,3838.7999999999997,3838.8,2,3678.85,1765.848,28143.2025,1688.59215,3200.5995,153.628776,3608.068926
20740856,"Comfy 2Bedrooms Near BTS Ari, 24hrs check-in*",52130340,Pim,Phaya Thai,13.77551,100.54438,Entire home/apt,2400,1,95,2022-12-11,1.51,11,337,1,2022,12,Sunday,3624.0,3624.0,2,2640.0,7972.8,20196.0,7623.99,2296.8,693.6336000000001,16290.423600000002
20425989,"BTS ARI station, cosy room, prime location! WIFI!",14945937,Nongnapat,Phaya Thai,13.77813,100.54351,Private room,1214,3,48,2022-12-12,0.74,1,91,9,2022,12,Monday,2695.08,2695.08,2,1335.4,1976.392,10215.81,1889.9248499999999,1161.798,171.946104,4038.2629540000003
20446225,"Modern Studio, 1 step to MRT, near Chatuchak",21970931,Nui,Bang Sue,13.81896,100.53214,Entire home/apt,700,5,125,2022-12-12,1.97,22,184,27,2022,12,Monday,6895.0,6895.0,2,770.0000000000001,3033.8,5890.500000000001,2901.0712500000004,669.9000000000001,263.9406000000001,6198.81185
21065013,"The Muse Haus in Asoke ( Sleep 4,walk to BTS/MRT)",49539775,Max,Khlong Toei,13.72556,100.56302,Entire home/apt,2857,2,329,2022-12-16,5.19,36,35,62,2022,12,Friday,29655.660000000003,29655.660000000003,2,3285.5499999999997,34104.009,25134.457499999997,32611.95860625,2858.4284999999995,2967.0487829999997,69683.01638925
21074706,The Equestrian Nice view. 250 mtr from BTS.,28831691,Dara,Phaya Thai,13.77574,100.54308,Entire home/apt,1486,2,152,2022-12-12,2.39,1,173,13,2022,12,Monday,7103.08,7103.08,2,1634.6000000000001,7813.388000000001,12504.69,7471.552275000001,1422.102,679.7647560000001,15964.705031000001
20767709,PhraKanong@可中文溝通 Near BTS Luxury Residence!!,2447574,Redpro,Vadhana,13.7152,100.59476,Entire home/apt,6262,2,1,2018-12-24,0.02,6,364,0,2018,12,Monday,250.48000000000002,250.48000000000002,2,7201.299999999999,288.05199999999996,55089.945,275.449725,6265.130999999999,25.060523999999997,588.562249
20770090,One bedroom condominium for short and long stay located in the heart of Bangkok,143704100,Pimpan,Din Daeng,13.75716,100.5608,Entire home/apt,1500,2,3,2017-12-19,0.05,1,0,0,2017,12,Tuesday,150.0,150.0,2,1650.0000000000002,165.00000000000003,12622.500000000002,157.78125000000003,1435.5000000000002,14.355000000000006,337.1362500000001
20787904,Chic Waterfront Living at Chapter One,8806202,Apaporn,Rat Burana,13.67513,100.51856,Entire home/apt,990,7,2,2022-12-04,0.05,1,0,1,2022,12,Sunday,346.5,346.5,2,1089.0,108.9,8330.85,104.135625,947.43,9.474300000000001,222.509925
21075097,"DOWN TOWN CONDO, walk to SukumvitBTS hi speed wifi",112197816,Cherya & Sammy,Phra Khanong,13.68702,100.60565,Private room,800,29,20,2019-12-17,0.32,2,211,0,2019,12,Tuesday,7424.0,7424.0,2,880.0000000000001,563.2,6732.000000000001,538.5600000000001,765.6000000000001,48.99840000000001,1150.7584000000002
21081206,"Charming 2 BedRM in Sukhumvit, Bangkok",145425860,Jia-Yi,Khlong Toei,13.72635,100.56357,Entire home/apt,2147,2,68,2022-12-24,1.09,5,331,11,2022,12,Saturday,4680.46,4680.46,2,2469.0499999999997,5382.5289999999995,18888.2325,5147.04335625,2148.0735,468.280023,10997.852379249998
20814207,Family Room Condo5 NR Shopping@Platinum + FreeWifi,92406083,David,Ratchathewi,13.7544,100.53902,Private room,1657,1,62,2022-12-05,0.97,6,348,3,2022,12,Monday,1607.29,1607.29,2,1822.7,3536.038,13943.654999999999,3381.3363374999994,1585.749,307.635306,7225.0096435
21407360,Bev33: CityCentre Traveler Studio. 5 min to BTS.,74124406,Felicia,Vadhana,13.73308,100.56875,Entire home/apt,1806,2,77,2022-12-14,1.38,1,309,28,2022,12,Wednesday,4984.5599999999995,4984.5599999999995,2,2076.8999999999996,5732.243999999999,15888.284999999998,5481.458324999999,1806.9029999999996,498.7052279999998,11712.407552999997
21098426,Bangkok High Class Riverside Condo Near Skytrain,57827253,Tula,Bang Sue,13.80525,100.52832,Entire home/apt,1688,4,34,2022-12-07,0.57,1,133,21,2022,12,Wednesday,3848.64,3848.64,2,1856.8000000000002,2116.752,14204.52,2024.1441,1615.4160000000002,184.157424,4325.053524
21132272,"【COZY & CENTRAL】0-min BTS Asok, NETFLIX, FAST WIFI",30386490,N'Dee,Vadhana,13.73622,100.56196,Entire home/apt,2400,1,223,2022-12-26,3.51,23,18,47,2022,12,Monday,8424.0,8424.0,2,2760.0,19375.199999999997,21114.0,18527.535,2401.2,1685.6423999999997,39588.3774
21431477,"Superior, twin beds",153050727,Rungsit,Khlong Toei,13.72039,100.56574,Hotel room,1050,1,6,2022-12-14,0.1,3,159,3,2022,12,Wednesday,105.0,105.0,2,1207.5,241.5,9237.375,230.93437500000002,1050.525,21.010500000000008,493.444875
21434292,"Suite, twin beds with bathtub",153050727,Rungsit,Khlong Toei,13.72058,100.56563,Hotel room,1200,1,2,2022-12-03,0.03,3,153,1,2022,12,Saturday,36.0,36.0,2,1380.0,82.8,10557.0,79.1775,1200.6,7.2036,169.1811
21435743,[AnotherHaus]Garden Loft - BKKairport- HuaMak sta.,52398651,Pai,Suanluang,13.73249,100.64701,Entire home/apt,1400,1,236,2022-12-16,3.75,6,316,35,2022,12,Friday,5250.0,5250.0,2,1540.0000000000002,11550.000000000002,11781.000000000002,11044.687500000002,1339.8000000000002,1004.8500000000001,23599.537500000002
21150535,Breezy Condo Next To St Food&Night Life: III,49539775,Max,Vadhana,13.74565,100.5571,Entire home/apt,1300,30,190,2022-12-10,3.0,36,86,47,2022,12,Saturday,117000.0,117000.0,2,1494.9999999999998,8969.999999999998,11436.749999999998,8577.562499999998,1300.6499999999999,780.39,18327.952499999996
21158450,lasalle place @ sukumvit105,130089420,Patchaya,Bang Na,13.66087,100.61088,Entire home/apt,970,14,32,2022-12-10,0.63,3,234,11,2022,12,Saturday,8555.4,8555.4,2,1067.0,1344.42,8162.55,1285.601625,928.29,116.96454,2746.9861650000003
21167737,350m to MRT Bangson - Cozy 1BR apartment,8123510,Tatiya,Bang Sue,13.8241,100.53205,Entire home/apt,994,3,85,2022-12-07,1.34,13,350,12,2022,12,Wednesday,3995.88,3995.88,2,1093.4,2930.3120000000004,8364.51,2802.11085,951.258,254.93714400000002,5987.359994000001
21440753,Bangkok downtown lifestye. BTS/MRT (8 mins),69773784,Pongnakorn,Bang Rak,13.72621,100.52559,Private room,1500,2,100,2022-12-08,1.6,3,173,2,2022,12,Thursday,4800.0,4800.0,2,1650.0000000000002,5280.000000000001,12622.500000000002,5049.000000000001,1435.5000000000002,459.3600000000002,10788.360000000002
20838911,Luxury Bangkok Riverside condo near Asiatique.,39493813,Pam,Bang Kho laen,13.70446,100.50714,Private room,3500,30,1,2017-12-10,0.02,1,88,0,2017,12,Sunday,2100.0,2100.0,2,3850.0000000000005,154.00000000000003,29452.500000000004,147.26250000000002,3349.5000000000005,13.398000000000001,314.66050000000007
21167774,BrandNew Luxury@Bts Prakanong+Wifi,152711646,Icey,Vadhana,13.71416,100.59481,Entire home/apt,1443,3,29,2022-12-16,0.48,2,333,21,2022,12,Friday,2077.92,2077.92,2,1659.4499999999998,1593.0719999999997,12694.7925,1523.3751,1443.7214999999999,138.597264,3255.0443639999994
21173197,"Luxury Silom Sathorn Condo,BTS WiFi 曼谷是隆路沙吞公寓会中文",152785309,Yuan,Bang Rak,13.72609,100.5262,Entire home/apt,3389,3,96,2022-12-23,1.53,3,315,26,2022,12,Friday,15555.51,15555.51,2,3727.9,11407.374,28518.434999999998,10908.3013875,3243.273,992.4415380000002,23308.1169255
21177746,Spacious Apt@heart of BKK/5min walk to BTS/4-10pax,49539775,Max,Vadhana,13.74687,100.55027,Entire home/apt,3500,2,217,2022-12-20,3.49,36,67,45,2022,12,Tuesday,24430.0,24430.0,2,4024.9999999999995,28094.5,30791.249999999993,26865.365624999995,3501.7499999999995,2444.2215,57404.08712499999
21185949,Comfy Nest,73712477,Untima,Bueng Kum,13.81161,100.64916,Private room,1300,1,1,2017-12-01,0.02,1,358,0,2017,12,Friday,26.0,26.0,2,1430.0000000000002,57.20000000000001,10939.500000000002,54.69750000000001,1244.1000000000001,4.976400000000001,116.87390000000002
20850355,Beige Poshtels + Netflix / near DMK,72302266,Chattva,Don Mueang,13.91202,100.57159,Private room,670,1,2,2022-12-09,0.94,7,167,2,2022,12,Friday,629.8,629.8,2,737.0000000000001,1385.5600000000002,5638.05,1324.94175,641.19,120.54372000000001,2831.0454700000005
20852409,"Heritage Shophouse in Chinatown, BKK(House)",28447831,Dr. Piyamas,Samphanthawong,13.73685,100.5145,Private room,12000,1,1,2017-12-02,0.02,11,2,0,2017,12,Saturday,240.0,240.0,2,13200.000000000002,528.0000000000001,100980.00000000001,504.9000000000001,11484.000000000002,45.93600000000001,1078.836
21466527,RAMA 9区域网红公寓精品两室一卫/超大无边泳池/近地铁/近Lotus/近Jodd Fairs夜市,102436119,Ke,Din Daeng,13.75597,100.56426,Entire home/apt,2700,30,79,2022-12-04,1.26,2,164,5,2022,12,Sunday,102060.0,102060.0,2,2970.0000000000005,7484.4000000000015,22720.500000000004,7156.957500000001,2583.9000000000005,651.1428000000002,15292.500300000002
21795722,Private&Cozy apartment#7 Silom 3 BTS Saladaeng,26736483,K,Bang Rak,13.72692,100.53022,Hotel room,1089,1,9,2022-12-03,0.15,89,354,4,2022,12,Saturday,163.35,163.35,2,1197.9,359.37,9163.935,343.6475625,1042.173,31.26519,734.2827524999999
21471655,"5 Mins BTS,SPACIOUS, 2 BR, 140 Sqm.Central Located",114934916,Klass,Sathon,13.72145,100.53075,Entire home/apt,4000,3,62,2022-12-20,1.02,6,327,8,2022,12,Tuesday,12240.0,12240.0,2,4400.0,8976.0,33660.0,8583.3,3828.0,780.912,18340.212
21477496,LANTERN x SHOPHAUS entire 4th fl. SOI SUKHUMVIT 31,58964862,Nuwaan,Vadhana,13.73494,100.56638,Entire home/apt,2400,2,34,2022-12-03,0.55,2,288,10,2022,12,Saturday,2640.0,2640.0,2,2760.0,3036.0000000000005,21114.0,2903.175,2401.2,264.132,6203.307000000001
